127.0.0.1, 2016-11-30 19:29:12, GET, /, HTTP/1.1, 500, 2.422383
127.0.0.1, 2016-11-30 19:29:14, GET, /favicon.ico, HTTP/1.1, 404, 0.000724
127.0.0.1, 2016-11-30 19:29:16, GET, /admin/default/ticket/SPE/127.0.0.1.2016-11-30.19-29-10.4b531b9a-9753-4e7f-8435-9d1fc9176212, HTTP/1.1, 303, 0.323890
127.0.0.1, 2016-11-30 19:29:17, GET, /admin, HTTP/1.1, 200, 0.171369
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001070
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000850
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000878
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000882
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000879
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000872
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001019
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000839
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000881
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000842
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000902
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001018
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000833
127.0.0.1, 2016-11-30 19:29:17, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000870
127.0.0.1, 2016-11-30 19:29:21, POST, /admin, HTTP/1.1, 303, 0.133326
127.0.0.1, 2016-11-30 19:29:21, GET, /admin/default/ticket/SPE/127.0.0.1.2016-11-30.19-29-10.4b531b9a-9753-4e7f-8435-9d1fc9176212, HTTP/1.1, 200, 0.145701
127.0.0.1, 2016-11-30 19:29:21, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000928
127.0.0.1, 2016-11-30 19:35:42, GET, /, HTTP/1.1, 200, 2.794246
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000986
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000849
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/css/general.css, HTTP/1.1, 404, 0.000769
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/css/navbar.css, HTTP/1.1, 200, 0.000902
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/css/footer.css, HTTP/1.1, 200, 0.000858
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/css/main.css, HTTP/1.1, 200, 0.000968
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000864
127.0.0.1, 2016-11-30 19:35:42, GET, /SPE/static/js/jquery.js, HTTP/1.1, 200, 0.000864
